feature	Gordonibacter urolithinfaciens-1335613	Bifidobacterium bifidum-1681	Bifidobacterium breve-1685	Bifidobacterium catenulatum-1686	Bifidobacterium longum-216816	Erysipelatoclostridium ramosum-1547	Streptococcus salivarius-1304	Lactobacillus johnsonii-33959	Enterococcus faecalis-1351	Enterococcus faecium-1352	Enterococcus gallinarum-1353	Enterococcus avium-33945	Enterococcus casseliflavus-37734	Enterococcus durans-53345	Enterococcus gilvus-160453	Enterococcus sp. FDAARGOS_375-2060307	Enterococcus sp. FDAARGOS_553-2420313	Enterococcus sp. M190262-2582830	Eubacterium limosum-1736	Anaeromassilibacillus senegalensis-1673717	Neglecta timonensis-1776382	Anaerotruncus rubiinfantis-1720200	Clostridium paraputrificum-29363	Anaerostipes caccae-105841	Anaerostipes rhamnosivorans-1229621	[Ruminococcus] gnavus-33038	Proteus mirabilis-584	Escherichia coli-562	Klebsiella oxytoca-571	Klebsiella pneumoniae-573	Bacteroides fragilis-817
VIVO7-FEC-16S-JUL4_F16	-9.45686773838034	-7.01946242607305	-8.64951281632274	NA	-9.5823986204642	-6.51826828304449	NA	NA	-9.5823986204642	-8.0418302391015	-7.75642802023925	-5.96501464205067	-9.45686773838034	NA	-3.95968119774763	NA	-4.75181139216888	-4.72894728381714	-5.49493577921386	NA	-6.83237687347255	-9.2344753170439	NA	-5.12894090287154	-8.64951281632274	-2.08545408185183	NA	-4.80342549977642	NA	NA	-1.07460398026551
VIVO7-FEC-16S-MAY29_F22	NA	-9.12717364196631	-6.80524554707895	-7.09475216427394	NA	-6.45732224365864	NA	NA	NA	NA	NA	-7.03201640892597	NA	NA	-5.87235974293749	NA	-7.09475216427394	-7.09475216427394	-7.33867774716003	NA	NA	NA	NA	-4.957248640524	NA	-2.63240895021673	NA	-5.55318225906616	-7.77925033854601	NA	-0.50279355335073
VIVO7-FEC-16S-JUL19_F24	-9.38860442299451	-6.5171191635172	-7.96539299226997	-10.3886044229945	-8.6781110401895	-6.43018352674591	NA	-9.76057320038147	-7.52610794674445	-7.58124950093691	-9.45571861885305	-3.12437509722183	NA	NA	-4.53062342786694	NA	-5.58124950093691	-5.55801719469919	-5.2186794215522	-9.60010852818823	NA	NA	NA	-7.63858267600286	NA	-1.78363007974077	-10.1475963234907	-4.8063768899946	-8.14759632349072	NA	-1.35193126229169
VIVO7-FEC-16S-JUN14_F22	-10.2213082587838	-8.03910492756307	-7.81322352014674	NA	-9.67382046348133	-6.37485351703727	NA	NA	-8.79246495997995	NA	-9.52943055414615	-4.73935362352038	NA	NA	-6.61796722874781	NA	-6.92174797692491	-6.92174797692491	-5.14038826340025	-9.67382046348133	-10.4623163582876	NA	NA	-6.15356365214798	-9.92174797692491	-0.915597248754601	-10.3367854762038	-5.74183888690998	-8.3981860208679	NA	-1.68036061292597
VIVO7-FEC-16S-JUN10_F24	NA	NA	-7.5177422828129	NA	-8.68766728425521	-6.08280522609635	NA	NA	-6.95070169008901	NA	-8.57219006683528	-4.92390163074529	NA	NA	-5.96884903679927	NA	-6.88031236219761	-6.88031236219761	-5.45245082256118	NA	NA	NA	NA	-5.93277978209175	-8.95070169008901	-1.66622457227859	NA	-5.62877359520165	-8.36573918936785	-8.95070169008901	-0.945638610075553
VIVO7-FEC-16S-JUN21_F24	NA	NA	NA	NA	NA	-6.31389077582194	NA	NA	NA	NA	NA	-4.41772658680648	NA	NA	-6.78337605912316	NA	-6.02438415862696	-6.02438415862696	-5.31389077582194	NA	NA	NA	NA	-6.67646085520665	NA	-1.45314864101731	NA	-5.02438415862696	NA	NA	-1.08935308265394
VIVO7-FEC-16S-JUN7_M13	NA	-9.53011941061677	-8.71069165625859	NA	-9.36965473842352	-6.19131749716501	NA	NA	-9.91714253372602	-8.4476572504248	-8.61758225186711	-7.10978761166841	NA	NA	-5.0102519381175	NA	-2.89562863906572	-2.92322436464566	-5.48315593164618	NA	-6.77209220092273	NA	-9.91714253372602	-5.20395432284294	NA	-2.51626309744383	NA	-5.19131749716501	NA	NA	-1.29593596087573
VIVO7-FEC-16S-JUN25_F22	-9.08859897075456	-8.57402579792481	-8.50363647003341	NA	-8.89595389281217	-5.63856605011952	NA	-9.19551417467108	-6.85155977345372	-7.31099139209101	-8.89595389281217	-3.93016960815008	NA	NA	-5.31852506477642	NA	-5.36457243229586	-5.36457243229586	-5.38815925261347	NA	NA	NA	NA	-9.19551417467108	NA	-1.81780308507752	NA	-5.23774241006037	-8.31099139209101	NA	-1.07777118786353
VIVO7-FEC-16S-MAY30_M14	-10.874007955604	-9.28904545488288	-9.1959360504914	-10.6934357099622	-9.69343570996221	-7.3971942587385	NA	NA	-10.6109735497702	-10.874007955604	-9.69343570996221	-6.22247783794389	NA	NA	-6.00611149161138	NA	-4.2930585173895	-4.2990991195468	-5.55689687701445	-10.3214669325753	-6.7365044318541	-10.0260110490491	-10.9735436291549	-4.97999865129225	-10.1959360504914	-1.76287228536933	NA	-5.02101036799072	NA	NA	-1.10648556937549
VIVO7-FEC-16S-MAY30_M12	NA	NA	-8.94982671075911	NA	NA	-6.08193024676646	NA	NA	NA	-8.46439988358887	-8.68679230492532	-6.68679230492532	NA	NA	-5.46439988358887	NA	-3.4357044505884	-3.4357044505884	-5.08193024676646	NA	-7.46439988358887	NA	NA	-5.73259599453844	NA	-2.04293611515059	NA	-4.30597052098439	NA	NA	-1.27386967781736
VIVO7-FEC-16S-JUN25_F24	-9.26124016818826	-7.55074678538324	-7.59138876988059	NA	NA	-6.1357092861044	NA	NA	-8.39874369193819	-7.91331686476795	NA	-4.43990101669495	NA	NA	-5.65458259636778	NA	-6.18151297571752	-6.18151297571752	-5.48226704750048	NA	NA	NA	NA	-7.91331686476795	NA	-1.68381134015251	NA	-5.29440703212346	-8.3283543640468	NA	-0.980891177052295
VIVO7-FEC-16S-MAY27_F16	NA	NA	NA	NA	NA	-5.87087137280754	NA	NA	-7.81276841824397	-8.25334100962995	NA	-7.10649962130068	NA	NA	-5.58496250072116	NA	-3.97323309043721	-3.94175485896405	-5.30580842952409	NA	-6.50610708000992	NA	NA	-5.06069593168755	NA	-1.76837429888551	-8.73876783680019	-4.53713397563054	NA	NA	-1.27524346352901
VIVO7-FEC-16S-JUN7_F15	NA	NA	NA	NA	NA	-6.27949282856697	NA	NA	NA	-7.14008977190155	-7.99569986256637	-6.3005544440948	-8.3005544440948	NA	-4.70151675816192	NA	-3.09110107846585	-3.07740450368561	-5.4455027800059	NA	-7.21809228390282	NA	NA	-5.15919859484925	NA	-2.56146879805422	NA	-4.38801728534513	NA	NA	-1.28210877677398
VIVO7-FEC-16S-JUN21_F22	-10.1727159803446	-8.28819319776449	-8.78569285723531	NA	-10.065800776428	-5.44270314682012	NA	NA	-7.51560369386757	-8.48083827570689	-8.8287615791272	-4.68086288401488	-9.48083827570689	NA	-6.04026568432091	NA	-5.80169333592903	-5.7803985575658	-5.75941353243646	NA	NA	NA	NA	-8.48083827570689	NA	-2.05697201705331	NA	-4.4116762511995	-8.55122760359829	NA	-0.845940813325816
VIVO7-FEC-16S-JUN10_F22	-9.74674332641012	-8.5623187552727	-7.46470795864628	-10.7467433264101	-9.39882002298982	-5.19774632297684	NA	NA	-7.46470795864628	-9.2992843494389	NA	-5.4215400994899	-10.5057352269063	NA	-6.02129960213914	NA	-6.21749025827526	-6.21749025827526	-5.24907290348514	-10.2061749450474	NA	NA	NA	-5.96777020572234	-10.5057352269063	-1.68752178937403	-9.03624994360511	-5.32353189568558	-7.04630360826903	NA	-1.00466360054728
VIVO7-FEC-16S-JUL19_F22	-9.24235282399897	-7.24235282399897	-7.77840572423918	NA	-8.89088045349759	-6.69945438284436	NA	-9.57677186306953	-7.07796600609809	-7.41383329194332	-8.34544631696307	-2.63629866693663	-10.1003338191265	-9.70801639634778	-3.76159743655263	NA	-5.50042097693941	-5.50414406298213	-5.24235282399897	-10.1003338191265	NA	NA	NA	-8.81493160026429	NA	-1.90680845862533	NA	-5.13166702593133	-7.95058669962186	NA	-1.52574029178893
VIVO7-FEC-16S-JUN14_F24	NA	-8.69882040180237	-7.65151468702401	-9.14627937877359	-9.14627937877359	-5.72306794804904	NA	NA	NA	-9.14627937877359	-9.02074849668973	-5.12997756644449	NA	NA	-7.39625763178193	NA	-7.85082349524742	-7.85082349524742	-6.11385790108121	NA	NA	NA	NA	-5.66319649207164	NA	-1.92183912878828	NA	-4.85751814782142	-8.21339357463212	NA	-0.767688939106339
VIVO7-FEC-16S-MAY16_F16	-9.00046955087181	-7.60815212809305	-5.6966888026947	-8.77807712953536	-9.58543205159296	-5.75888356430205	NA	NA	-9.41550705015065	-9.49796921034262	NA	-7.33750453814938	NA	NA	-5.53014961609177	NA	-7.21039262024604	-7.21039262024604	-5.5355835021424	-10.1260004329557	-5.56306423856451	NA	NA	-4.10767378514907	-9.88499233345187	-1.66619626556462	NA	-5.64879411259039	NA	-10.0004695508718	-1.09307810643309
