tax_id	VIVO7-FEC-16S-JUN21_F27.fq	VIVO7-FEC-16S-MAY27_F18.fq	VIVO7-FEC-16S-JUN11_M14.fq	VIVO7-FEC-16S-JUN25_F21.fq	VIVO7-FEC-16S-MAY27_M13.fq	VIVO7-FEC-16S-MAY27_F2.fq	VIVO7-FEC-16S-MAY17_F18.fq	VIVO7-FEC-16S-JUN14_F21.fq	VIVO7-FEC-16S-MAY16_M13.fq	VIVO7-FEC-16S-JUL4_F19.fq	VIVO7-FEC-16S-MAY29_F21.fq	VIVO7-FEC-16S-JUL4_M12.fq	VIVO7-FEC-16S-JUL3_F27.fq	VIVO7-FEC-16S-JUN10_F27.fq	VIVO7-FEC-16S-JUN10_F21.fq	VIVO7-FEC-16S-MAY14_POOL-F11.fq	VIVO7-FEC-16S-JUN28_M26.fq	VIVO7-FEC-16S-JUL4_M14.fq	VIVO7-FEC-16S-JUL19_F21.fq	VIVO7-FEC-16S-MAY16_F15.fq	VIVO7-FEC-16S-MAY13_POOL-F2.fq	VIVO7-FEC-16S-JUN18_M26.fq	VIVO7-FEC-16S-MAY27_F15.fq	VIVO7-FEC-16S-JUN11_M12.fq	VIVO7-FEC-16S-JUN11_F19.fq	VIVO7-FEC-16S-JUN21_F21.fq	VIVO7-FEC-16S-JUN7_F16.fq	VIVO7-FEC-16S-MAY30_F16.fq	VIVO7-FEC-16S-JUN11_F15.fq	VIVO7-FEC-16S-MAY13_F8.fq	VIVO7-FEC-16S-MAY27_M12.fq	VIVO7-FEC-16S-JUN25_M20.fq	VIVO7-FEC-16S-MAY27_F19.fq	VIVO7-FEC-16S-JUN21_M26.fq	VIVO7-FEC-16S-MAY27_F8.fq	VIVO7-FEC-16S-JUN10_M26.fq	VIVO7-FEC-16S-JUL4_M13.fq	VIVO7-FEC-16S-JUL3_M26.fq	VIVO7-FEC-16S-JUL4_F18.fq	VIVO7-FEC-16S-MAY29_M20.fq	VIVO7-FEC-16S-MAY17_F19.fq	VIVO7-FEC-16S-APR16_F2.fq	VIVO7-FEC-16S-MAY16_M12.fq	VIVO7-FEC-16S-JUN14_M20.fq	VIVO7-FEC-16S-JUL19_M20.fq	VIVO7-FEC-16S-MAY16_M14.fq	VIVO7-FEC-16S-JUN28_F27.fq	VIVO7-FEC-16S-JUL4_F15.fq	VIVO7-FEC-16S-JUN10_M20.fq	VIVO7-FEC-16S-APR16_F11.fq	VIVO7-FEC-16S-JUN7_M17.fq	VIVO7-FEC-16S-JUN11_F18.fq	VIVO7-FEC-16S-JUN21_M20.fq	VIVO7-FEC-16S-MAY27_M14.fq	VIVO7-FEC-16S-AUG2_M26.fq	VIVO7-FEC-16S-JUN11_M13.fq	VIVO7-FEC-16S-JUN18_F27.fq	VIVO7-FEC-16S-JUL3_M25.fq	VIVO7-FEC-16S-JUN10_M25.fq	VIVO7-FEC-16S-JUN14_F23.fq	VIVO7-FEC-16S-MAY29_F23.fq	VIVO7-FEC-16S-JUN28_F29.fq	VIVO7-FEC-16S-MAY27_F11.fq	VIVO7-FEC-16S-JUN25_F23.fq	VIVO7-FEC-16S-MAY30_F15.fq	VIVO7-FEC-16S-JUN11_F16.fq	VIVO7-FEC-16S-JUN7_F19.fq	VIVO7-FEC-16S-JUN18_F29.fq	VIVO7-FEC-16S-JUN7_M12.fq	VIVO7-FEC-16S-APR30_F2.fq	VIVO7-FEC-16S-AUG2_F28.fq	VIVO7-FEC-16S-JUN21_M25.fq	VIVO7-FEC-16S-JUN21_F23.fq	VIVO7-FEC-16S-MAY30_F18.fq	VIVO7-FEC-16S-JUN7_M14.fq	VIVO7-FEC-16S-MAY2_F11.fq	VIVO7-FEC-16S-AUG2_M25.fq	VIVO7-FEC-16S-MAY30_M13.fq	VIVO7-FEC-16S-JUN21_F28.fq	VIVO7-FEC-16S-MAY27_M17.fq	VIVO7-FEC-16S-JUL3_F28.fq	VIVO7-FEC-16S-JUN10_F28.fq	VIVO7-FEC-16S-JUL19_F23.fq	VIVO7-FEC-16S-JUN10_F23.fq	VIVO7-FEC-16S-MAY17_M17.fq	VIVO7-FEC-16S-JUL4_F16.fq	VIVO7-FEC-16S-MAY16_F5.fq	VIVO7-FEC-16S-MAY29_F22.fq	VIVO7-FEC-16S-JUN28_F28.fq	VIVO7-FEC-16S-JUL19_F24.fq	VIVO7-FEC-16S-JUN14_F22.fq	VIVO7-FEC-16S-JUN10_F24.fq	VIVO7-FEC-16S-JUN18_F8.fq	VIVO7-FEC-16S-AUG2_F29.fq	VIVO7-FEC-16S-JUN21_F24.fq	VIVO7-FEC-16S-JUN7_M13.fq	VIVO7-FEC-16S-JUN18_F28.fq	VIVO7-FEC-16S-JUN25_F22.fq	VIVO7-FEC-16S-JUN6_F5.fq	VIVO7-FEC-16S-MAY30_M14.fq	VIVO7-FEC-16S-JUN11_M17.fq	VIVO7-FEC-16S-MAY30_M12.fq	VIVO7-FEC-16S-JUN25_F24.fq	VIVO7-FEC-16S-MAY27_F16.fq	VIVO7-FEC-16S-JUN21_F29.fq	VIVO7-FEC-16S-JUN18_M25.fq	VIVO7-FEC-16S-JUN7_F15.fq	VIVO7-FEC-16S-JUN21_F22.fq	VIVO7-FEC-16S-MAY30_F19.fq	VIVO7-FEC-16S-APR30_F5.fq	VIVO7-FEC-16S-JUL4_M17.fq	VIVO7-FEC-16S-JUN28_M25.fq	VIVO7-FEC-16S-JUN10_F22.fq	VIVO7-FEC-16S-JUL19_F22.fq	VIVO7-FEC-16S-JUN14_F24.fq	VIVO7-FEC-16S-MAY16_F16.fq	VIVO7-FEC-16S-JUN10_F29.fq	VIVO7-FEC-16S-JUL3_F29.fq
154046																																																																																																										2.9999999999998517												
1547	161.53915507470376		37.52323232323233	15.54147465437788	146.48147429679923	228.4018683352428	22.32468694096601	264.45941410842164	84.33254868392896			20.336225596529285	32.58578118348233	28.322663252240716	85.36643835616438		131.08473947709996	44.36358364743404	45.73449401523395	69.33495145631068	11.196969696969695	175.2124946876328	270.15876749382574	39.37663830765694	19.13488843813387	177.89326267978805	99.52531041069722	175.586957529391	108.62472885032538	22.230366492146597	60.371381758601856	47.73277737490936	17.16003644093532	202.46959979476657	36.41237113402062	10.07235453723244	127.62793428305712	63.27440904419321	10.106560106560108	33.40293040293041	47.07343075085011	113.929569528961	94.23294096822728	275.63461538461536	121.61734693877553		94.84304932735428	198.87544684854183	54.46187128177393	53.172542997543	42.35117056856187	38.22321542587154	179.3031525474376	67.40938758505763	64.69232369461203	324.9109265175719	129.9448134900334	139.14415619149503	28.28119293974437	76.06039448420317	75.78559738134206	206.96293823038397	31.19761539369614	141.8218809550499	106.45811170212764	72.66909090909091	24.125357542594205	226.85931558935363	138.12867791290702	143.39627022168963	100.7141894623366	67.93296632124353	449.0770689421644	28.336192109777016	11.21484375	30.20696142991533	114.66919889498196	36.3587123147675	85.25631820792647	12.225388601036268	74.25155187691144		75.73086293114501	219.79209114473448	16.246153846153845	92.51506849315068	298.02266857962695	70.34274522604863	125.07141597601834	171.61648867423986	187.30161290322584	73.64681313501802	190.03938231941137	66.35566732530987	18.609071274298056	172.67284049177712	48.37309901976181	153.20507399577167	30.371172285802658	167.11870490812808	16.137156370085723	73.77485201061441	96.83141705241154	73.81091940439612	237.151563433579	11.0	69.8457476899868	345.1957219251337	44.29261240422149	35.80708661417323	32.19212510471935	160.15416522640857	515.3628168416587	169.79220284824362	118.74237780287145	227.40677689989408	57.40195632393085	130.11165826843794
1598																																																																																																										1.0												
160453	65.78097790177563		55.35912952571341	22.35980186600576	204.11868115348383	926.4441119119998		207.34886831186435	139.82074565171774		29.07176226233949	161.86094214698525		240.43194891621744	39.53712377554978			622.6328456652249	149.37343115036046	182.036380272347	84.91248055938908	30.83905180619004	586.3037690803388	124.20953827059256		129.3100456669773	228.66586307370943	209.77637747017096	278.38301534188395	104.750430551245	53.145131028693505	37.018948859365175		17.099650555206043	107.23334499821117	144.03159816149432	926.569517212			40.48840048839308		209.6770361309425	244.2199593768576	221.74365729481892	196.35795758301177	64.44228628214412		990.5074117702673	46.445254419716214	38.59296882848756	13.73062061056823	12.136937313329453	83.95127124077862	150.30448307797252	20.17489133440561	509.075460408547	60.95595567256047	16.318273758467384	181.58211410495664	74.32548839302002	35.858186699907364	23.8194780812838		241.743863493983	157.55926539973643	156.04361809010143		114.44324878569282	245.2731236750521	594.5339138494484	16.781975681501482		450.0830523289626		53.555718552876336	20.948090499485364	34.2936953895278	74.0055753295845	15.631241798725462		12.905279803867002	62.30445248482296	395.3342897474246	274.30450845438907		542.6146550600953	115.3028972885763	105.12865507600522		638.0118775301836	158.22072306002042	79.8298628741964	76.39890278264608	22.895495335737785	13.230922908989449	390.132889668753		191.1239836378784	28.2793039505866	438.1213185055201		112.99889222549844	134.5158149433332	89.80751159900656	62.52770451508465	4.568091240835936	206.54677386400104	228.44439264814417	11.657769387793287	66.17973520227078	18.759528319444833		291.56881026891597	1295.8223759673535	37.34519373069471	266.8464843793547	187.88372670711	47.51540391185957
1673717						22.04108493522252		20.03496318271248															37.02175670665787					15.050100897641082																												14.03254059448657						11.051419031719533		11.064118372379776				14.053231939163496		11.030482324745355			21.050487606663957																	19.068498741582207	19.030645161290323		11.002280029018552							22.015637772346373													16.042422314137234	16.075001429143086		11.076659874767005		14.012024736601008
1681	13.043534260690366				46.15169738118332	228.40186784904247		56.09789691158553	25.0989728225979				16.292890591741166				13.227858235841012	25.206581617860248	17.277475516866158	50.24271844660195		91.11049723756906	87.05114118364385			44.22205399949533	25.13265414411546	14.046760837798344	10.057845263919017	24.25130890052356		14.218274111675123		22.16085171883017	14.160366552119129		26.127243066884176						65.16107620143376	90.20769229083454	51.2602041354139		19.170403587443943	51.22549388523048					26.190348124906617	10.061194272275811	21.22716871229457	28.117532036138225	34.24902060977687	51.42284033163936				39.18230383973289		50.29016958800168	19.08211436170213			77.29277566539923	16.13181639858768	52.14409826243259	61.43565581155341		88.21156711363945				71.4167726155109	10.09964230965764	26.078403216542217		30.51433638782146		48.46775227593282	20.357777338005945		65.36390708755212	67.23070301291249	11.053859964093355	25.21601128548757	161.58043670498606	59.09516129032258		91.01886188424422	35.18861146050425		17.066501676512853	13.101047651233529	20.158562367864693		45.0319863524896			36.311781394654325		47.2293367855009	2.0		48.16584483192578		16.368953880764906		28.339274072161817	50.132569731678856	116.5437499902502	15.094370059687048	63.11289402948603	29.20450409463148	73.06270041226773
1685	25.083719732096856				30.098933077869784	40.630744660164936		70.06506586004984	71.28108281617807		19.76923076923077			169.9357194370216	11.178938356164384		10.083441498240388	17.14047550014497	20.32644178454842	82.39792564524556	33.59090909090909	83.1334376546399	59.88616203324656	14.135203495056334		15.07562468265692		13.043420778018747	15.086767895878523		24.14855270111757	13.202683103698332		40.29621134826953	11.126002290950746	104.75211552781832	28.13703099510604			20.244200244200243			82.19174868790202	75.1730641053807	41.8772856349299	10.218270008084076	18.161434977578477	30.45795064248738					35.256237860451215	15.091653936953202	26.281256500936134	58.163067095101134	81.59325498210947	37.30676651732435	71.71302489671932		34.35613747954174	22.102838063422723		42.24481561173323	15.064827127659576			181.69119142341796	19.595523956179058	24.066504688989497	34.24282417766638	14.194948186528496	71.17070142417467				45.19503285627081		24.072372199769124		29.497191841560745	82.80501392757661	16.15591742531094	65.23509422159798		21.117569982134277	35.12051649928264	55.269299833562	13.112325907476391	59.21270661859624	69.11126735915552	27.112229776262165	44.00912013677959	23.123586375230204		30.117355917988895	26.158733680168435	21.16649048627245		48.03411877598891		10.10614411104307	35.30312080035837		96.46843258315076	2.0		34.12303434551317				10.943823058844062	107.28369715290204	80.37501751942678	31.195031456686564	237.42430866554457	89.78987483409485	83.93480739536348
1686					15.049466534157364	18.03172644751917			73.28900064198585					44.50704225352113						17.082524271844658	39.69834710743802		37.021757026931674				12.063673989175422	15.050100897641082								35.25324088031354				12.146520146520146			16.03964952650677					13.057478833490125											10.10042604991076		23.24091653027823				10.043218085106384			21.07987808544479		12.033253445176753			18.04327509142625											11.039785399963831				45.220336203650334		11.039657166179172			20.00414548721117							17.01208373316274												11.079847908745249	11.029188190029007		11.069204710437168	28.05042161654193	72.34547548437644	
1720200						12.021150965012778																	16.009408444078563														13.063621533442088																			13.036549520766773																														14.078379988088146														27.01919181149376																		
1736	425.4198866563627		62.87676767676768	41.443932411674346	163.53753637245393	645.1351017890191		701.223711394819	224.88679649047697		15.607287449392713	55.92462039045553	83.50106428267348	103.1754161331626	72.15496575342466		263.17782310402373	190.47819949060604	83.33841131664852	151.73300970873788	49.87741046831956	904.0964725881852	805.4733623427026	128.22648884801103	10.070993914807302	156.7872823618471	195.029396158336	259.84202097685437	154.89081706435286	80.83769633507853	104.64372838157657	83.27846265409718		497.6118522319139	147.67239404352807	157.12873078082603	312.5220228384992	77.56217882836589		18.219780219780223	17.026560058818124	128.04473743520396	299.74095052659527	584.3453846161583	367.86734693877554	30.65481002425222	208.8565022421525	324.42812793979306	69.8756084380821	15.048832923832924			156.13476766771254	179.0876267185113	274.9273858142879	424.6268218805187	344.50485436893206	347.8603904787376	97.97418212772014	137.92284866468844	52.54468085106383	416.93989983305505	14.089245661669224	221.28236744759556	258.1107047872511	126.16161616161762	11.057455540355678	612.3193916349982	197.6147508826991	169.46831935290595	373.6496429052234	149.04695595854923	572.3727337373318		28.546875	11.075885857635624	414.4219254269302	98.97649463464488	336.0101789339874		108.83446644989652	36.80222841225627	216.08539556353375	384.3852552896498		187.0413341274568	251.86427546628408	38.1860600295736	269.3070005289881	396.4238877865864	440.7096774193549	113.98921009771986	593.1229142916364	288.5466139751609	36.93181016681003	281.0953217307999	362.79824264954374	182.4349894295572	70.86606866687286	598.4250630841951	14.120011823825008	146.5390896101245	151.299089144393	108.18860789411488	693.3668591913962	52.0	123.49537997359984	277.9628342262105	27.179557611681368	56.268278965129355	16.096062552359676	299.1558935361217	497.3150917382543	464.6094963927301	90.56622035812228	265.47487171133014	134.9449499545041	642.5514200641319
