SampleName,Batch,GermFree,SampleType,Group,AnimalID,DonorID,MouseSex,DonorHealthStatus,Dam,SampleShortName,PostnatalDay,DaysSinceWeaning,DaysSinceFMT
VIVO6-FEC-16S-JUN19_M36,3,N,Pup,2,VIVO6-M36,4,M,S,VIVO6-F11,M36-P39,39,6,
VIVO6-FEC-16S-JUN7_M37,2,N,Pup,2,VIVO6-M37,4,M,S,VIVO6-F11,M37-P27,27,-6,
VIVO6-FEC-16S-JUN13_M37,3,N,Pup,2,VIVO6-M37,4,M,S,VIVO6-F11,M37-P33,33,0,
VIVO6-FEC-16S-JUN15_M37,3,N,Pup,2,VIVO6-M37,4,M,S,VIVO6-F11,M37-P35,35,2,
VIVO6-FEC-16S-JUN19_M37,3,N,Pup,2,VIVO6-M37,4,M,S,VIVO6-F11,M37-P39,39,6,
VIVO6-FEC-16S-JUN7_M39,2,N,Pup,2,VIVO6-M39,4,M,S,VIVO6-F12,M39-P26,26,-9,
VIVO6-FEC-16S-JUN16_M39,3,N,Pup,2,VIVO6-M39,4,M,S,VIVO6-F12,M39-P35,35,0,
VIVO6-FEC-16S-JUN19_M39,3,N,Pup,2,VIVO6-M39,4,M,S,VIVO6-F12,M39-P38,38,3,
VIVO6-FEC-16S-JUN9_M40,2,N,Pup,2,VIVO6-M40,4,M,S,VIVO6-F12,M40-P28,28,-7,
VIVO6-FEC-16S-JUN16_M40,3,N,Pup,2,VIVO6-M40,4,M,S,VIVO6-F12,M40-P35,35,0,
VIVO6-FEC-16S-JUN19_M40,3,N,Pup,2,VIVO6-M40,4,M,S,VIVO6-F12,M40-P38,38,3,
VIVO6-FEC-16S-JUN7_M42,3,N,Pup,3,VIVO6-M42,1,M,H,VIVO6-F14,M42-P26,26,-7,
VIVO6-FEC-16S-JUN14_M42,3,N,Pup,3,VIVO6-M42,1,M,H,VIVO6-F14,M42-P33,33,0,
VIVO6-FEC-16S-JUN16_M42,3,N,Pup,3,VIVO6-M42,1,M,H,VIVO6-F14,M42-P35,35,2,
VIVO6-FEC-16S-JUN21_M42,3,N,Pup,3,VIVO6-M42,1,M,H,VIVO6-F14,M42-P40,40,7,
VIVO6-FEC-16S-JUN7_M43,3,N,Pup,3,VIVO6-M43,1,M,H,VIVO6-F14,M43-P26,26,-7,
VIVO6-FEC-16S-JUN14_M43,3,N,Pup,3,VIVO6-M43,1,M,H,VIVO6-F14,M43-P33,33,0,
VIVO6-FEC-16S-JUN16_M43,3,N,Pup,3,VIVO6-M43,1,M,H,VIVO6-F14,M43-P35,35,2,
VIVO6-FEC-16S-JUN21_M43,3,N,Pup,3,VIVO6-M43,1,M,H,VIVO6-F14,M43-P40,40,7,
VIVO6-FEC-16S-JUN7_M44,3,N,Pup,3,VIVO6-M44,1,M,H,VIVO6-F14,M44-P26,26,-7,
VIVO6-FEC-16S-JUN14_M44,3,N,Pup,3,VIVO6-M44,1,M,H,VIVO6-F14,M44-P33,33,0,
VIVO6-FEC-16S-JUN16_M44,3,N,Pup,3,VIVO6-M44,1,M,H,VIVO6-F14,M44-P35,35,2,
VIVO6-FEC-16S-JUN21_M44,3,N,Pup,3,VIVO6-M44,1,M,H,VIVO6-F14,M44-P40,40,7,
VIVO6-FEC-16S-JUN1_POOL-F11,2,N,Pup,2,VIVO6-POOL-F11,4,,S,VIVO6-F11,POOL-F11-P21,21,-12,
VIVO6-FEC-16S-JUN2_POOL-F14,3,N,Pup,3,VIVO6-POOL-F14,1,,H,VIVO6-F14,POOL-F14-P21,21,-12,
VIVO6-FEC-16S-JUN7_POOL-F15,3,N,Pup,3,VIVO6-POOL-F15,1,,H,VIVO6-F15,POOL-F15-P20,20,-14,
VIVO6-FEC-16S-JUN2_POOL-F8,2,N,Pup,2,VIVO6-POOL-F8,3,,S,VIVO6-F8,POOL-F8-P20,20,-13,
VIVO6-FEC-16S-MAY31_POOL-F9,2,N,Pup,2,VIVO6-POOL-F9,3,,S,VIVO6-F9,POOL-F9-P22,22,-15,
